	featureCounts on dataset 88 and 98: Counts	featureCounts on dataset 89 and 98: Counts	featureCounts on dataset 90 and 98: Counts	Mutant	Mutant2	Mutant3
gene-BTH_RS00005	401.605033906864	454.100123873004	386.71435536325	509.737487818746	606.020382958063	476.211872484341
gene-BTH_RS00010	625.934821239037	585.865387634715	611.413718953369	335.459651074392	549.791687632058	393.308591039698
gene-BTH_RS00015	218.858329104558	283.131971719379	252.666237170004	143.048860217909	149.943187536016	132.066855324605
gene-BTH_RS00020	264.818578216516	265.708465767417	238.200612904546	297.178970171008	257.937983320884	249.673835978632
gene-BTH_RS00025	2277.22091433293	2289.01309443898	2276.88925938313	1649.0914378642	1852.86938883791	1559.73848113292
gene-BTH_RS00030	1158.85485260864	1398.23635264493	1242.11493692735	1037.60792974962	939.822479020384	935.071895363989
gene-BTH_RS34740	196.972496194102	261.352589279427	246.879987463821	169.24090504654	170.471123924875	203.402237032785
gene-BTH_RS00040	80.9775817686866	78.4057767838281	82.9362457886273	48.3545442990115	68.7239609540072	43.3796240117314
gene-BTH_RS00045	0	0	0	0	0	0
gene-BTH_RS00050	214.481162522467	231.950422985491	251.701862218974	251.846584890685	204.386844915164	203.402237032785
gene-BTH_RS00055	133.503580753781	126.320418151723	148.513742458705	173.270450404791	141.017997801729	119.534963943438
gene-BTH_RS00060	121.46637265303	119.786603419737	127.297493536033	142.041473878346	140.1254788283	125.318913811669
gene-BTH_RS00065	154.295122018714	133.943202005706	149.478117409735	182.336927460856	166.008529057732	185.086395783387
gene-BTH_RS00070	225.424078977695	215.615886155527	233.378738149393	335.459651074392	242.765160772597	293.053459990363
gene-BTH_RS00075	55.8088739216624	99.0961901017827	93.5443702499633	91.6721569002093	74.9715937680078	110.859039141091
gene-BTH_RS00080	60.1860405037535	52.2705178558854	74.2568712293523	47.3471579594488	53.5511384057199	61.6954652611292
gene-BTH_RS00085	252.781370115765	306.000323281329	288.348110358134	242.78010783462	227.59233822431	241.961902820991
gene-BTH_RS00090	78.788998477641	75.1388694178352	96.437495103055	52.3840896572625	83.0042645288658	75.1913482870012
MSTRG.18.1	16.4143746828419	18.5124750739594	16.3943741675193	9.06647705606466	15.1728225482873	12.5318913811669
gene-BTH_RS00095	0	0	0	0	0	0
gene-BTH_RS00100	0	0	0	0	0	0
gene-BTH_RS00105	0	0	0	0	0	0
MSTRG.18.5	0	0	0	0	0	0
gene-BTH_RS00115	0	0	0	0	0	0
gene-BTH_RS00125	0	0	0	0	0	0
gene-BTH_RS00130	0	0	0	0	0	0
gene-BTH_RS00110	0	0	0	0	0	0
gene-BTH_RS00120	0	0	0	0	0	0
gene-BTH_RS00135	25.1687078470242	4.35587648799045	24.1093737757637	19.1403404516921	20.5279363888593	8.67592480234629
gene-BTH_RS00140	0	0	0	0	0	0
gene-BTH_RS00145	62.3746237947991	82.7616532718185	82.9362457886273	90.6647705606466	111.564871678583	67.47941512936
gene-BTH_RS00150	56.9031655671852	66.4271164418543	77.149996082444	42.3102262616351	153.51326342973	50.1275655246674
gene-BTH_RS00155	1.09429164552279	2.17793824399522	1.9287499020611	0	0	1.92798328941029
gene-BTH_RS00160	0	0	0	0	0	0
gene-BTH_RS00165	221.046912395604	160.078460933649	181.302490793743	171.255677725666	162.438453164017	212.078161835131
gene-BTH_RS00170	163.049455182896	172.057121275623	194.803740108171	189.388631837795	160.65341521716	153.274671508118
gene-BTH_RS00175	500.091282003916	450.833216507011	447.469977278175	399.932376806408	383.783158574326	457.896031234943
gene-BTH_RS00180	4527.08453752779	5155.1798235367	4636.71476455488	5265.60839689444	5991.47986862663	5745.39020244265
gene-BTH_RS00185	1600.94867739984	1949.25472837573	1940.32240147347	1670.24655099502	1861.79457857219	1496.11503258238
gene-BTH_RS00190	147.729372145577	185.124750739594	171.658741283438	534.922146307815	427.51658827233	424.156323670263
gene-BTH_RS00195	248.404203533674	201.459287569558	224.699363590118	463.39771619886	422.161474431759	416.444390512622
gene-BTH_RS00200	158.672288600805	192.747534593577	142.727492752521	163.196587009164	151.728225482873	154.238663152823
gene-BTH_RS00205	117.089206070939	158.989491811651	156.228742066949	146.071019236597	157.083339323445	145.562738350477
gene-BTH_RS00210	784.607109839841	750.299725056355	756.069961607951	804.901685310629	730.080520264648	707.569867213575
gene-BTH_RS00215	715.666736171906	651.203534954572	694.349964741996	598.387485700267	514.98344766834	556.223178994868
gene-BTH_RS00220	583.257447063648	655.559411442562	572.838720912147	599.39487203983	524.801156376055	526.339438009008
gene-BTH_RS00225	120.372081007507	103.452066589773	132.119368291185	131.967610482719	126.73769422687	126.282905456374
gene-BTH_RS00230	74.4118318955498	53.359486977883	90.6512453968717	98.7238612771485	79.4341886351512	104.111097628155
gene-BTH_RS00235	125.843539235121	103.452066589773	144.656242654582	201.477267912548	166.90104803116	155.202654797528
gene-BTH_RS00240	141.16362227244	124.142479907728	144.656242654582	254.868743909373	199.924250048021	212.078161835131
gene-BTH_RS00245	227.612662268741	206.904133179546	226.628113492179	327.40056035789	323.091868381177	315.225267818582
gene-BTH_RS00250	186.029579738875	200.370318447561	189.981865353018	280.053402398442	317.736754540605	260.277744070389
gene-BTH_RS00255	41.5830825298661	32.6690736599284	49.183122502558	86.6352252023956	97.2845681037245	65.5514318399497
gene-BTH_RS00260	103.957706324665	63.1602090758615	92.5799952989328	84.6204525232701	182.966389552876	129.174880390489
gene-BTH_RS00265	78.788998477641	80.5837150278233	64.6131217190468	45.3323852803233	140.1254788283	55.9115153928983
gene-BTH_RS00270	60.1860405037535	47.9146413678949	56.8981221108024	38.2806809033841	276.680881762886	49.1635738799623
gene-BTH_RS00275	45.9602491119572	30.4911354159331	39.5393729922525	40.2954535825096	134.770364987728	25.0637827623337
gene-BTH_RS00280	112.712039488848	96.9182518577875	102.223744809238	88.6499978815211	368.610336026039	76.1553399317063
gene-BTH_RS00285	136.786455690349	164.434337421639	182.266865744774	129.952837803593	249.012793586597	129.174880390489
gene-BTH_RS00290	4.37716658209117	3.26690736599284	3.8574998041222	10.0738633956274	11.6027466545726	4.81995822352572
gene-BTH_RS00295	267.007161507561	222.149700887513	234.343113100424	240.765335155495	308.811564806318	202.43824538808
gene-BTH_RS00300	125.843539235121	92.562375369797	136.941243046338	88.6499978815211	99.0696060505818	90.6152146022834
gene-BTH_RS00305	78.788998477641	88.2064988818066	104.152494711299	70.5170437693918	74.9715937680078	84.8312647340526
gene-BTH_RS00310	225.424078977695	276.598156987393	295.098735015348	289.119879454506	238.302565905454	218.826103348067
gene-BTH_RS00315	108.334872906756	135.032171127704	160.086241871071	228.676699080742	140.1254788283	141.706771771656
