GeneID,Base mean,log2(FC),StdErr,Wald-Stats,P-value,P-adj
gene-J2S48_RS20875,4315.816814,-5.248381312,0.27924013,-18.79522589,8.26E-79,2.89E-75
gene-J2S48_RS20100,16788.12023,-7.608681077,0.42996444,-17.6960706,4.50E-70,7.87E-67
gene-J2S48_RS06520,1608.58287,-4.945585363,0.303293923,-16.30624615,8.91E-60,1.04E-56
rna-J2S48_RS07170,905.1449099,-7.331914043,0.45613922,-16.07385139,3.89E-58,3.41E-55
rna-J2S48_RS12480,1516.024329,-7.859297694,0.490129941,-16.03513076,7.26E-58,5.09E-55
MSTRG.97.1,30902.47238,-7.550129061,0.512154033,-14.74191079,3.47E-49,2.02E-46
rna-J2S48_RS12475,621.267724,-5.373830344,0.375084454,-14.32698765,1.48E-46,7.43E-44
gene-J2S48_RS16660,7572.995404,4.860208161,0.339820828,14.30226683,2.12E-46,9.27E-44
MSTRG.767.1,8955.626011,-4.633666814,0.336740381,-13.76035388,4.41E-43,1.72E-40
gene-J2S48_RS02325,885.9506712,-10.30212884,0.767334183,-13.42586981,4.27E-41,1.49E-38
MSTRG.3499.1,4049.175911,-3.43417534,0.27595992,-12.44447142,1.50E-35,4.77E-33
gene-J2S48_RS13825,2713.923511,3.637145965,0.294614198,12.3454538,5.15E-35,1.50E-32
MSTRG.1235.1,7313.100963,-3.613875304,0.297386464,-12.15211768,5.59E-34,1.51E-31
gene-J2S48_RS00300,1287.441304,-3.940607218,0.32497128,-12.12601685,7.69E-34,1.92E-31
gene-J2S48_RS21085,1023.717075,-4.095975365,0.344548979,-11.88793355,1.37E-32,3.19E-30
gene-J2S48_RS02320,382.0060731,-5.133733234,0.435573662,-11.78614247,4.60E-32,1.01E-29
gene-J2S48_RS18870,3790.704794,-3.491125513,0.297407215,-11.73853671,8.09E-32,1.67E-29
gene-J2S48_RS10185,45247.29985,6.050334561,0.528794797,11.44174374,2.59E-30,5.03E-28
gene-J2S48_RS13845,3299.897621,3.117533702,0.273842033,11.38442361,5.00E-30,8.81E-28
gene-J2S48_RS02120,350.6548882,-4.651007766,0.408561178,-11.38387105,5.03E-30,8.81E-28
gene-J2S48_RS20595,2320.372984,3.422018228,0.301320316,11.35674577,6.87E-30,1.15E-27
gene-J2S48_RS14420,4456.220972,-3.610203452,0.321321436,-11.23548897,2.73E-29,4.35E-27
gene-J2S48_RS20105,409.6307295,-4.042991342,0.365608546,-11.05825174,2.00E-28,3.05E-26
gene-J2S48_RS20885,1563.752518,-3.960954761,0.359080633,-11.03082259,2.71E-28,3.96E-26
gene-J2S48_RS16725,409.2957048,-4.301419576,0.394120707,-10.91396493,9.88E-28,1.39E-25
gene-J2S48_RS12905,582.2930792,-3.935084632,0.364334941,-10.80073357,3.41E-27,4.60E-25
MSTRG.3234.1,569.8024853,-3.652744134,0.341327878,-10.70156987,1.00E-26,1.30E-24
gene-J2S48_RS20880,578.3935419,-4.42047263,0.41369798,-10.68526519,1.19E-26,1.49E-24
MSTRG.1650.1,44112.40322,-6.004062238,0.570145152,-10.53076083,6.23E-26,7.53E-24
gene-J2S48_RS04025,488.2268313,-4.230411679,0.4031739,-10.49277168,9.33E-26,1.09E-23
gene-J2S48_RS16555,20120.28853,-4.711152504,0.449941813,-10.47058168,1.18E-25,1.33E-23
gene-J2S48_RS25950,1236.588476,3.099403468,0.29620912,10.46356531,1.27E-25,1.39E-23
gene-J2S48_RS17270,5374.811747,3.45172183,0.331009017,10.42787857,1.85E-25,1.96E-23
gene-J2S48_RS25930,570.2777552,3.922272819,0.378445536,10.36416721,3.61E-25,3.72E-23
gene-J2S48_RS25910,860.097846,-4.157346427,0.402313469,-10.33359991,4.97E-25,4.97E-23
MSTRG.487.1,5097.20611,-3.399659043,0.331342944,-10.26024276,1.06E-24,1.04E-22
MSTRG.72.1,3243.927003,2.613339096,0.254976052,10.24935117,1.19E-24,1.13E-22
gene-J2S48_RS16800,449.8770877,4.18469389,0.408613459,10.24120424,1.30E-24,1.19E-22
gene-J2S48_RS13780,894.0748047,3.315945966,0.324735105,10.21123346,1.77E-24,1.59E-22
gene-J2S48_RS25310,2137.548207,2.922961483,0.287215836,10.17688135,2.51E-24,2.20E-22
rna-J2S48_RS06045,663.8752012,-3.732951412,0.370976267,-10.06250734,8.09E-24,6.91E-22
gene-J2S48_RS06720,411.9094947,-4.720359198,0.47209083,-9.998836867,1.54E-23,1.29E-21
gene-J2S48_RS12825,1548.696442,-3.84329838,0.385829219,-9.961138729,2.25E-23,1.80E-21
rna-J2S48_RS15025,361.2760005,-5.072697169,0.509216347,-9.961772043,2.24E-23,1.80E-21
gene-J2S48_RS14920,19708.31425,-2.765454249,0.277820362,-9.95410929,2.42E-23,1.88E-21
MSTRG.1298.1,2743.75882,-3.69432757,0.371610086,-9.94140824,2.75E-23,2.05E-21
gene-J2S48_RS13770,59093.22457,-4.355772135,0.438109837,-9.942192051,2.73E-23,2.05E-21
gene-J2S48_RS17750,1882.488246,2.961102422,0.299426495,9.889246524,4.64E-23,3.38E-21
gene-J2S48_RS13785,2684.750367,3.115204043,0.31678636,9.833769487,8.05E-23,5.76E-21
gene-J2S48_RS00400,1144.567009,3.384504732,0.345386954,9.799167844,1.14E-22,7.95E-21
gene-J2S48_RS21140,613.0090736,3.577974885,0.367544776,9.734800004,2.14E-22,1.47E-20
gene-J2S48_RS07055,359.6595558,-3.203029668,0.331330523,-9.66717356,4.16E-22,2.80E-20
gene-J2S48_RS13310,574.0310727,3.731337326,0.389615267,9.576979241,9.99E-22,6.60E-20
gene-J2S48_RS17385,2622.708229,-4.115521193,0.430894357,-9.551114146,1.28E-21,8.32E-20
rna-J2S48_RS10600,112.4628434,-6.485001562,0.682078082,-9.507711416,1.95E-21,1.24E-19
gene-J2S48_RS25900,1405.473923,-4.804322943,0.507397694,-9.468554951,2.84E-21,1.77E-19
gene-J2S48_RS02165,348.9249485,-3.36723061,0.36043279,-9.342187233,9.44E-21,5.60E-19
gene-J2S48_RS06970,317.6080908,-3.483277528,0.372827346,-9.342870278,9.38E-21,5.60E-19
