GeneID,Base mean,log2(FC),StdErr,Wald-Stats,P-value,P-adj
gene-J2S48_RS02325,885.9506712,-10.30212884,0.767334183,-13.42586981,4.27E-41,1.49E-38
rna-J2S48_RS12480,1516.024329,-7.859297694,0.490129941,-16.03513076,7.26E-58,5.09E-55
MSTRG.1329.1,81.44013223,-7.699347124,0.920238346,-8.366687995,5.93E-17,2.10E-15
gene-J2S48_RS20100,16788.12023,-7.608681077,0.42996444,-17.6960706,4.50E-70,7.87E-67
MSTRG.97.1,30902.47238,-7.550129061,0.512154033,-14.74191079,3.47E-49,2.02E-46
MSTRG.3408.1,65.70953722,-7.408719525,0.927593031,-7.987036636,1.38E-15,4.10E-14
rna-J2S48_RS24910,63.08347603,-7.355402745,0.93492595,-7.86736398,3.62E-15,9.54E-14
rna-J2S48_RS07170,905.1449099,-7.331914043,0.45613922,-16.07385139,3.89E-58,3.41E-55
rna-J2S48_RS10600,112.4628434,-6.485001562,0.682078082,-9.507711416,1.95E-21,1.24E-19
rna-J2S48_RS24235,65.34379207,-6.108283188,0.789139875,-7.740431548,9.91E-15,2.44E-13
MSTRG.1171.1,132.2867451,4.726125351,1.140672439,4.143280042,3.42E-05,0.000184797
gene-J2S48_RS16660,7572.995404,4.860208161,0.339820828,14.30226683,2.12E-46,9.27E-44
MSTRG.190.1,2662.448032,4.911878687,0.560761771,8.759296616,1.96E-18,8.39E-17
gene-J2S48_RS06820,11.50706565,4.927366905,1.092541967,4.510002409,6.48E-06,4.05E-05
gene-J2S48_RS06480,8674.621826,5.124405323,0.590581248,8.676884579,4.07E-18,1.68E-16
gene-J2S48_RS06495,9456.162059,5.250269714,0.915226341,5.736580646,9.66E-09,1.05E-07
gene-J2S48_RS15265,98.50097492,5.700169545,0.740102346,7.701866608,1.34E-14,3.13E-13
MSTRG.1489.1,20.20192422,5.710901712,1.050352274,5.437129859,5.41E-08,5.11E-07
gene-J2S48_RS10185,45247.29985,6.050334561,0.528794797,11.44174374,2.59E-30,5.03E-28
gene-J2S48_RS21205,55.95072471,7.664884199,0.891489028,8.597844678,8.12E-18,3.27E-16
